Date,Open,High,Low,Close,Adj Close,Volume
2014-10-01,100.589996,108.040001,95.180000,108.000000,98.803833,1360280200
2014-11-01,108.220001,119.750000,107.720001,118.930000,108.803146,820408200
2014-12-01,118.809998,119.250000,106.260002,110.379997,101.419060,1073594600
2015-01-01,111.389999,120.000000,104.629997,117.160004,107.648643,1305263400
2015-02-01,118.050003,133.600006,116.080002,128.460007,118.031273,1136535200
2015-03-01,129.250000,130.279999,121.629997,124.430000,114.779648,1138642100
2015-04-01,124.820000,134.539993,123.099998,125.150002,115.443810,996135500
2015-05-01,126.099998,132.970001,123.360001,130.279999,120.175949,954152100
2015-06-01,130.279999,131.389999,124.480003,125.430000,116.185387,878606700
2015-07-01,126.900002,132.970001,119.220001,121.300003,112.359787,1058280600
2015-08-01,121.500000,122.570000,92.000000,112.919998,104.597435,1786858800
2015-09-01,110.150002,116.889999,107.360001,110.300003,102.632996,1206547300
2015-10-01,109.070000,121.220001,107.309998,119.500000,111.193504,1112512100
2015-11-01,120.800003,123.820000,111.000000,118.300003,110.076927,750640600
2015-12-01,118.750000,119.860001,104.820000,105.260002,98.362572,921915200
2016-01-01,102.610001,105.849998,92.389999,97.339996,90.961533,1271848000
2016-02-01,96.470001,98.889999,92.589996,96.690002,90.354164,810862600
2016-03-01,97.650002,110.419998,97.419998,108.989998,102.400795,746049600
2016-04-01,108.779999,112.389999,92.510002,93.739998,88.072762,872383700
2016-05-01,93.970001,100.730003,89.470001,99.860001,93.822777,900671500
2016-06-01,99.019997,101.889999,91.500000,95.599998,90.367195,779497700
2016-07-01,95.489998,104.550003,94.370003,104.209999,98.505920,685779600
2016-08-01,104.410004,110.230003,104.000000,106.099998,100.292450,630128500
2016-09-01,106.139999,116.180000,102.529999,113.050003,107.440933,968015600
2016-10-01,112.709999,118.690002,112.279999,113.540001,107.906609,686914300
2016-11-01,113.459999,113.769997,104.080002,110.519997,105.036453,721555000
2016-12-01,110.370003,118.019997,108.250000,115.820000,110.638626,608771700
2017-01-01,115.800003,122.440002,114.760002,121.349998,115.921227,563122000
2017-02-01,127.029999,137.479996,127.010002,136.990005,130.861588,574968600
2017-03-01,137.889999,144.500000,137.050003,143.660004,137.828171,561628400
2017-04-01,143.710007,145.460007,140.059998,143.649994,137.818558,373304100
2017-05-01,145.100006,156.649994,144.270004,152.759995,146.558746,653981800
2017-06-01,153.169998,155.979996,142.199997,144.020004,138.743896,684178100
2017-07-01,144.880005,153.990005,142.410004,148.729996,143.281311,422011900
2017-08-01,149.100006,164.520004,148.410004,164.000000,157.991928,661069000
2017-09-01,164.800003,164.940002,149.160004,154.119995,149.056900,680374100
2017-10-01,154.259995,169.649994,152.460007,169.039993,163.486755,504291300
2017-11-01,169.869995,176.240005,165.279999,171.850006,166.204468,600663400
2017-12-01,169.949997,177.199997,166.460007,169.229996,164.258896,531183800
2018-01-01,170.160004,180.100006,164.699997,167.429993,162.511780,659679400
2018-02-01,167.169998,180.619995,150.240005,178.119995,172.887787,927894300
2018-03-01,178.539993,183.500000,164.940002,167.779999,163.515457,713727700
2018-04-01,166.639999,178.940002,160.630005,165.259995,161.059509,666154300
2018-05-01,166.410004,190.369995,165.270004,186.869995,182.120239,620976300
2018-06-01,187.990005,194.199997,180.729996,185.110001,181.100647,527624500
2018-07-01,183.820007,195.960007,183.419998,190.289993,186.168427,393691400
2018-08-01,199.130005,228.869995,197.309998,227.630005,222.699677,700318900
2018-09-01,228.410004,229.669998,215.300003,225.740005,221.625168,678972000
2018-10-01,227.949997,233.470001,206.089996,218.860001,214.870590,789748500
2018-11-01,219.050003,222.360001,170.259995,178.580002,175.324814,961326400
2018-12-01,184.460007,184.940002,146.589996,157.740005,155.405045,898922500
2019-01-01,154.889999,169.000000,142.000000,166.440002,163.976242,828087400
2019-02-01,166.960007,175.869995,165.929993,173.149994,170.586929,472540600
2019-03-01,174.279999,197.690002,169.500000,189.949997,187.940842,650981400
2019-04-01,191.639999,208.479996,188.380005,200.669998,198.547455,506117700
2019-05-01,209.880005,215.309998,174.990005,175.070007,173.218231,739456600
2019-06-01,175.600006,201.570007,170.270004,197.919998,196.580658,515218700
2019-07-01,203.169998,221.369995,198.410004,213.039993,211.598358,473851700
2019-08-01,213.899994,218.029999,192.580002,208.740005,207.327454,681081600
2019-09-01,206.429993,226.419998,204.220001,223.970001,223.299591,542567100
2019-10-01,225.070007,249.750000,215.130005,248.759995,248.015381,608302700
2019-11-01,249.539993,268.000000,249.160004,267.250000,266.450043,448331500
2019-11-29,266.600006,267.989990,265.899994,267.250000,267.250000,11654363
